en,jp
passive,受身の，消極的な(形容詞)
subtle,微妙な，繊細な(形容詞)
competitive,競争力のある，競争による(形容詞)
clothing,衣料品，服(名詞)
wise,賢い，賢明な(形容詞)
pursuit,追跡，追跡行為(名詞)
settlement,移住，定住(名詞)
seize,つかむ，把握する(動詞)
partnership,共同，提携(名詞)
expression,表現，言い回し(名詞)
dispute,争議/論争する(名詞)
contrary,反対の，逆の(形容詞)
expand,拡大する，広がる(動詞)
intelligence,知能，知性(名詞)
shortage,不足，欠乏(名詞)
compound,調合する，調合品を作る(動詞)
defeat,負かす，打ち破る(動詞)
assumption,想定，仮説(名詞)
sustain,保持する，維持する(動詞)
initiative,主導権，自発性(名詞)
bow,お辞儀する，頭を下げる(動詞)
examination,試験，実験(名詞)
confidence,自信，信頼(名詞)
yield,産出する，生ずる(動詞)
firmly,堅く，確固として(副詞)
engaged,に従事して，忙しくして(形容詞)
impulse,衝動，衝力(名詞)
destroy,を破壊する，を壊す(動詞)
steady,着実な，安定した(形容詞)
element,要素，元素(名詞)
dealer,販売業者，売り手(名詞)
mysterious,不可解な，不思議な(形容詞)
comparison,比較，対照(名詞)
communist,共産主義者，共産党員(名詞)
republic,共和国，共和制国家(名詞)
expose,明らかにする，明示する(動詞)
department,部門，課(名詞)
explanation,説明，解説(名詞)
isolate,を孤立させる，隔離する(動詞)
proceed,進む，始める(動詞)
explore,探索する，調査する(動詞)
regarding,に関して，について(前置詞)
stupid,馬鹿な，愚かな(形容詞)
alive,生きている，存命の(形容詞)
dramatic,劇的な，感動的な(形容詞)
potential,潜在的な，潜伏している(形容詞)
approval,承認，認可(名詞)
dare,思い切ってする，断行する(動詞)
activist,行動主義者，活動家(名詞)
effectively,効果的に，事実上(副詞)
strain,張る，伸ばす(動詞)
shame,恥，羞恥(名詞)
cash,現金，手元資金(名詞)
asleep,眠っている，寝ている(形容詞)
mass,塊，大部分(名詞)
latter,後者の，後半の(形容詞)
absolutely,絶対に，必ず(副詞)
intention,意図，目的(名詞)
science,科学，自然科学(名詞)
split,割る，裂く(動詞)
diminish,減らす，小さくする(動詞)
positive,自信のある，確信している(形容詞)
remote,遠い，遠隔の(形容詞)
collect,集める，収集する(動詞)
equivalent,等しい，同等の(形容詞)
bear,我慢する，を圧迫する(動詞)
empire,帝国，王国(名詞)
navy,海軍，水軍(名詞)
significance,重要性，意義(名詞)
practical,実用的な，有用な(形容詞)
guess,推測する，予想する(動詞)
agriculture,農業，耕作(名詞)
leap,跳ぶ，はねる(動詞)
empty,何も入っていない，空っぽの(形容詞)
insight,洞察，洞察力(名詞)
verbal,言葉の，語句の(形容詞)
unit,単位，員数(名詞)
evil,邪悪な，悪しき(形容詞)
newly,新たに，最近(副詞)
automobile,自動車，乗用車(名詞)
university,大学，大学校(名詞)
publication,出版物，刊行物(名詞)
past,過去の，終わった(形容詞)
contrast,対照，比較(名詞)
immigrant,移民，移住者(名詞)
lack,不足，欠乏(名詞)
brief,短い，短時間の(形容詞)
cop,警官，警察官(名詞)
eager,強く望んでいる，切望している(形容詞)
crown,王冠，王座(名詞)
observer,観察者，傍観者(名詞)
nod,うなずく，会釈する(動詞)
investment,投資，出資(名詞)
scientific,科学の，理科の(形容詞)
constitute,構成する，組み立てる(動詞)
moral,道徳の，道徳的な(形容詞)
voter,投票者，選挙人(名詞)
remarkable,目立った，際立った(形容詞)
mere,単なる，ただの(形容詞)
belong,に属する，所属する(動詞)
pursue,追い求める，追跡する(動詞)
totally,完全に，全く(副詞)
patient,我慢強い，患者(名詞)
match,試合，競技(名詞)
weather,天候，天気(名詞)
survival,生存，生き残ること(名詞)
fellow,仲間，友人(名詞)
towards,の方へ，向かって(前置詞)
aircraft,航空機，飛行機(名詞)
legislation,立法，法制定(名詞)
wherever,どこでも，どの場所でも(接続詞)
tax,税金，税収(名詞)
nuclear,核の，中心の(形容詞)
internal,内部の，内側の(形容詞)
enterprise,会社，事業(名詞)
initial,当初の，最初の(形容詞)
division,分割，割り当て(名詞)
parallel,平行の，並行の(形容詞)
preference,好み，好き(名詞)
consideration,考慮，考察(名詞)
expectation,期待，予想(名詞)
literally,文字通りに，直訳で(副詞)
grave,墓，墓地(名詞)
laughter,笑い，笑顔(名詞)
found,設立する，創立する(動詞)
terror,恐怖，恐れ(名詞)
suitable,適した，好都合な(形容詞)
reference,参照，参考(名詞)
fabric,織物，布地(名詞)
length,長さ，延長(名詞)
deny,を否定する，拒否する(動詞)
satellite,衛星，人工衛星(名詞)
steadily,着実に，確実に(副詞)
fundamental,基本的な，基礎の(形容詞)
strategy,戦略，戦術(名詞)
virtually,実質的に，事実上(副詞)
partly,部分的に，一部分(副詞)
profession,職業，仕事(名詞)
undergo,経験する，体験する(動詞)
congress,会議，集会(名詞)
given,与えられた，授与された(形容詞)
traffic,交通，運輸(名詞)
mainly,主に，もっぱら(副詞)
cave,ほら穴，洞窟(名詞)
fancy,空想，想像(名詞)
wisdom,知恵，賢明さ(名詞)
blink,瞬きをする，瞬間を過ごす(動詞)
scholar,学者，研究者(名詞)
rid,を取り除く，除去する(動詞)
privilege,特権，特典(名詞)
method,方法，手段(名詞)
establishment,設立，創立(名詞)
shrug,肩をすくめる，無視する(動詞)
aloud,声に出して，大声で(副詞)
continue,をし続ける，続ける(動詞)
master,主人，支配人(名詞)
rating,評価，鑑定(名詞)
extra,余分の，特別の(形容詞)
flee,逃げる，逃走する(動詞)
administration,機関，運営(名詞)
die,死ぬ，亡くなる(動詞)
throughout,至るところに，終始(前置詞)
shit,大便，便(名詞)
tradition,伝統，慣習(名詞)
typical,典型的な，代表的な(形容詞)
weigh,重さがある，の重さを量る(動詞)
unlikely,起こりそうにない，ありそうもない(形容詞)
weight,重さ，体重(名詞)
normally,通常は，普通に(副詞)
retain,保持する，持ち続ける(動詞)
overwhelming,圧倒的な，支配的な(形容詞)
promotion,昇進，進級(名詞)
massive,巨大な，大規模な(形容詞)
desirable,望ましい，理想的な(形容詞)
stare,じっと見つめる，しきりに観察する(動詞)
application,適用，応用(名詞)
grasp,つかむ，把握する(動詞)
fat,太った，肥満した(形容詞)
gene,遺伝子，遺因(名詞)
contract,契約，協定(名詞)
discuss,について議論する，検討する(動詞)
court,裁判所，法廷(名詞)
analysis,分析，解析(名詞)
generate,発生させる，起こす(動詞)
regardless,にも関わらず，不注意で(副詞)
fire,首にする，火をつける/火，火事(動詞)
entitle,と題する，と名づける(動詞)
bury,埋める，充填する(動詞)
pit,くぼみ，凹み(名詞)
critical,極めて重要な，非常に大事な(形容詞)
crisis,危機，困難(名詞)
flood,洪水，氾濫(名詞)
wildlife,野生動物，野生生物(名詞)
wrong,間違い，誤った(形容詞)
wear,身につけている，着用している(動詞)
earn,稼ぐ，得る(動詞)
import,輸入する，直輸入する(動詞)
retirement,退職，引退(名詞)
stream,流れ，水流(名詞)
species,種，種族(名詞)
recovery,回復，復元(名詞)
coalition,連立，連合(名詞)
acquaintance,知人，友人(名詞)
peer,同僚，仲間(名詞)
alter,を変える，を改変する(動詞)
absolute,絶対的な，完全な(形容詞)
secretary,秘書，秘書官(名詞)
deserve,値する，価値がある(動詞)
contribute,に寄付する，捧げる(動詞)
implication,含み，裏の意味(名詞)
calm,穏やかな，静かな(形容詞)
constantly,常に，いつも(副詞)
famous,有名な，著名な(形容詞)
precisely,正確に，精密に(副詞)
parking,駐車場，停車場(名詞)
ad,広告，宣伝(名詞)
commander,司令官，指揮官(名詞)
rise,上がる，昇る(動詞)
gain,得る，獲得する(動詞)
proud,自慢に思って，誇らしげな(形容詞)
lose,失う，無くす(動詞)
editor,編集者，論客(名詞)
killer,殺人者，凶悪犯(名詞)
material,材料，原料(名詞)
breast,胸部，胸(名詞)
appetite,食欲，食い気(名詞)
flavor,風味，味(名詞)
aim,ねらいをつける，狙う(動詞)
preparation,準備，用意(名詞)
investigation,調査，研究(名詞)
storage,倉庫，保管場所(名詞)
investor,投資家，投資者(名詞)
whole,全部の，すべての(形容詞)
regulation,規制，規定(名詞)
existing,既存の，現存の(形容詞)
fate,運命，宿命(名詞)
accuse,告発する，告発(動詞)
object,物体，実体(名詞)
cope,対処する，処理する(動詞)
racial,人種の，民族の(形容詞)
judge,を判断する/裁判官(動詞)
disagree,反対する，拒否する(動詞)
release,解き放つ，解放する(動詞)
literary,文学の，文芸の(形容詞)
maybe,たぶん，おそらく(副詞)
alliance,同盟，協定(名詞)
thought,考えること，意見(名詞)
comedy,喜劇，茶番(名詞)
reply,返答する，応答する(動詞)
gay,同性愛の，同性愛者の(形容詞)
definite,明確な，限定的な(形容詞)
attempt,試み，試練(名詞)
commission,手数料，委任状(名詞)
except,を除いて，除外して(前置詞)
height,高さ，高度(名詞)
favorite,特に好きな，お気に入りの(形容詞)
harmful,有害な，害のある(形容詞)
terrible,ひどい，恐ろしい(形容詞)
dull,面白みのない，鈍い(形容詞)
context,文脈，背景(名詞)
fold,折りたたむ，畳む(動詞)
suggestion,提案，案(名詞)
steam,蒸気，水蒸気(名詞)
extensive,広範な，広い範囲の(形容詞)
mayor,市長，町長(名詞)
funding,資金調達，資本集め(名詞)
operator,操作者，操縦者(名詞)
universal,普遍的な，万能の(形容詞)
exposure,暴露，さらすこと(名詞)
pose,姿勢，体勢(名詞)
headline,見出し，表題(名詞)
bang,ドンドン叩く/ズドンという音(動詞)
likely,起こりそうな，可能性がある(形容詞)
necessity,必要性，必須(名詞)
financial,財政の，財務に関する(形容詞)
resistance,抵抗，反対(名詞)
grammar,文法，文法規則(名詞)
capital,資本，首都(名詞)
intend,意図する，意図して(動詞)
alike,よく似た，類似の(形容詞)
peak,頂上，頂点(名詞)
educate,教育する，訓練する(動詞)
closely,綿密に，詳細に(副詞)
exactly,正確に，正確で(副詞)
moment,瞬間，瞬時(名詞)
extend,延びる，延長する(動詞)
employee,従業員，社員(名詞)
remaining,残りの，残余の(形容詞)
negative,否定の，拒否(形容詞)
burst,破裂する，破れる(動詞)
portrait,肖像画，顔の絵(名詞)
possibility,可能性，実現性(名詞)
absence,不在，欠席(名詞)
primary,最初の，初めての(形容詞)
inferior,劣った，劣る(形容詞)
interpretation,解釈，通訳(名詞)
evident,明らかな，明白な(形容詞)
tribe,部族，種族(名詞)
maintenance,持続，保全(名詞)
passenger,乗客，客(名詞)
profound,深い，心からの(形容詞)
significantly,かなり，相当に(副詞)
agree,同意する，承認する(動詞)
assure,保証する，確証する(動詞)
dump,投げ捨てる，捨てる(動詞)
difference,違い，差分(名詞)
coal,石炭，炭(名詞)
drain,排出させる，排水をする(動詞)
acknowledge,を認める，認める(動詞)
suspect,疑う，だと思う(動詞)
gaze,凝視する，じっと見る(動詞)
sure,確信して，自信をもって(形容詞)
steel,鋼鉄，鉄(名詞)
exclude,除く，排除する(動詞)
surgery,手術，外科(名詞)
add,足し算する，合計する(動詞)
load,積む/積み荷(動詞)
inevitable,避けられない，必然的(形容詞)
female,雌の，女性の(名詞)
depending,依存している，依存状態(動詞)
so-called,いわゆる，通称(形容詞)
accept,受け入れる，受け取る(動詞)
enthusiasm,情熱，熱狂(名詞)
joint,継目，関節(名詞)
assessment,評価，査定(名詞)
evolve,進化する，発展する(動詞)
occupy,占める，取る(動詞)
mention,言及する，参照する(動詞)
account,銀行口座(名詞)
as a matter of fact,実際のところ(熟語)
commodity,商品(名詞)
grace,恵み(名詞)
distort,歪める(動詞)
Arctic,北極地方(名詞)
obsession,強迫観念(名詞)
obey,従う(動詞)
rule out,除外する(熟語)
manipulate,操る(動詞)
sue,訴える(動詞)
get rid of,取り除く(熟語)
Buddhist,仏教(名詞)
as far as I know,私の知る限り(熟語)
put off,延期する(熟語)
extract,抜き取る(動詞)
as if,まるで～かのように(熟語)
indigenous,原産の(形容詞)
slavery,奴隷制度(名詞)
avenue,大通り(名詞)
destination,目的地，行き先(名詞)
designate,選定する(動詞)
domain,領地(名詞)
result in,結果として，結果～になる(熟語)
infrastructure,基盤(名詞)
provoke,挑発する(動詞)
sole,単独の(形容詞)
convict,有罪とする(動詞)
apply for,を申し込む(熟語)
fatigue,疲労(名詞)
precede,先行する(動詞)
decent,まともな(形容詞)
utter,完全な(形容詞)
look over,見渡す(熟語)
stern,厳格な(形容詞)
breed,を飼育する，繁殖する(動詞)
no longer,もはや～でない(熟語)
one by one,1つずつ，一つ一つ(熟語)
forecast,予測する(動詞)
evidence,証拠(名詞)
otherwise,さもなければ(副詞)
require,を必要とする，を要求する(動詞)
architect,建築家(名詞)
lessen,減らす(動詞)
tumor,腫瘍(名詞)
dormitory,寮，大部屋(名詞)
suffer from,で苦しむ，悩まされる(熟語)
thrust,突き上げる(動詞)
handout,配布物(名詞)
addicted,癖になった(形容詞)
kindergarten,幼稚園(名詞)
reasonable,理性のある，分別のある(形容詞)
phenomenon,現象(名詞)
accommodate,収容する(動詞)
obscure,不明瞭な(形容詞)
aisle,通路(名詞)
resign,辞任する(動詞)
due to,が原因で(熟語)
grocery,食料品(名詞)
toll,料金(名詞)
transaction,取引(名詞)
stiff,硬い(形容詞)
put up with,に耐える(熟語)
deal with,に対処する(熟語)
induce,誘発する(動詞)
withstand,耐える(動詞)
sanitation,衛生(名詞)
fraction,分数(名詞)
conceal,隠す(動詞)
retail,小売り(名詞)
isolation,隔離(名詞)
before long,間もなく(熟語)
biology,生物学(名詞)
in terms of,に関して，の点から(熟語)
by the end of,の終わりまでに(熟語)
prejudice,先入観(名詞)
souvenir,お土産(名詞)
bring up,持ち出す(熟語)
supervisor,上司(名詞)
struggle,もがき苦しむ(動詞)
attribute,に帰する(動詞)
subsequent,その後の(形容詞)
soak,浸す(動詞)
supplement,補足，追加(名詞)
drought,干ばつ(名詞)
rely on,に頼る，を当てにする(熟語)
penetrate,貫く(動詞)
conform,従う(動詞)
at most,多くとも，せいぜい(熟語)
scarce,乏しい(形容詞)
trivial,取るに足らない(形容詞)
thorough,徹底した(形容詞)
urge,強く促す，早める(動詞)
predator,捕食者(名詞)
beverage,飲料(名詞)
emperor,皇帝，天皇(名詞)
soar,舞い上がる(動詞)
embarrassed,恥ずかしい(形容詞)
and so on,などなど(熟語)
famine,食料不足(名詞)
secondhand,中古の(形容詞)
bureau,事務局，たんす(名詞)
extinct,絶滅した(形容詞)
on duty,勤務時間中で，当番の(熟語)
roast,あぶり焼きにする(動詞)
along with,に沿って(熟語)
make fun of,をからかう(熟語)
conquer,征服する(動詞)
come up with,を思いつく，を考え出す(熟語)
converse,逆の(形容詞)
revise,改訂する(動詞)
lawyer,弁護士，法律家(名詞)
dip,少し浸す(動詞)
look into,を調べる(熟語)
optimistic,楽観的な(形容詞)
neat,きちんとした(形容詞)
refer,言及する(動詞)
expire,期限切れの(動詞)
imperial,帝国の(形容詞)
hierarchy,階層(名詞)
erosion,侵食(名詞)
evoke,呼び起こす(動詞)
chemistry,化学(名詞)
habit,習慣，慣習(名詞)
vanish,消える(動詞)
medieval,中世の(形容詞)
earnest,真剣な(形容詞)
get by,どうにか切り抜ける(熟語)
cope with,に対処する(熟語)
savage,獰猛な(形容詞)
spur,刺激(名詞)
bleed,出血する(動詞)
eyesight,視界(名詞)
apologize,謝る，謝罪する(動詞)
concentrate,集中する(動詞)
utilize,利用する(動詞)
fame,名声(名詞)
accommodation,宿泊施設(名詞)
donate,を寄付する，を寄贈する(動詞)
starve,飢える(動詞)
in spite of,にも関わらず(熟語)
organ,臓器(名詞)
domestic,国内の，自国の(形容詞)
discrimination,差別/差別的な(名詞)
bully,いじめっ子(名詞)
bake,焼く，焼成する(動詞)
ambiguous,あいまいな(形容詞)
integrate,統合する(動詞)
particle,分子(名詞)
magnificent,壮大な(形容詞)
pastime,娯楽(名詞)
enrich,豊かにする(動詞)
refund,払い戻す(動詞)
germ,細菌(名詞)
rumor,うわさ(名詞)
run out of,を使い果たす，消耗する(熟語)
descend,下降する(動詞)
irrelevant,無関係な(形容詞)
endow,寄付する(動詞)
fingerprint,指紋(名詞)
vending machine,自動販売機(名詞)
compile,編集する(動詞)
compassion,思いやり(名詞)
ancestor,祖先，先祖(名詞)
in case,万一に備えて(熟語)
think over,熟考する，よく考える(熟語)
according to,によれば，に基づいて(熟語)
by degrees,徐々に(熟語)
sorrow,悲しみ(名詞)
approve,承認する(動詞)
undertake,引き受ける(動詞)
compliment,褒め言葉(名詞)
hang up,中断する(熟語)
overwhelm,圧倒する(動詞)
confess,を打ち明ける，白状する(動詞)
break out,勃発する(熟語)
watch out,気を付ける(熟語)
pull off,もぎ取る，成功を掴む(熟語)
awkward,ぎこちない(形容詞)
tame,飼いならす(動詞)
appropriate,適当な，充当する(形容詞)
try on,試着する(熟語)
adolescent,思春期の(名詞)
carry out,を成し遂げる(熟語)
ambition,野望(名詞)
scholarship,奨学金(名詞)
get along with,とうまくやっていく(熟語)
come across,を横切る，出くわす(熟語)
remain,のままである，残る(動詞)
emotion,感情，情熱(名詞)
emergency,緊急事態，緊急(名詞)
spouse,配偶者(名詞)
call off,を中止する(熟語)
be willing to,する気のある(熟語)
shrink,縮小する(動詞)
molecule,分子(名詞)
document,書類(名詞)
nap,昼寝(名詞)
instead of,のかわりに(熟語)
assemble,組み立てる(動詞)
injection,注射，注入(名詞)
endanger,危険にさらす(動詞)
basin,盆地(名詞)
suspend,つるす(動詞)
stem,幹(名詞)
hand in,を提出する(熟語)
be engaged in,に従事している(熟語)
burden,負担，重荷(名詞)
a couple of,少数の(熟語)
be well of,元気で(熟語)
outcome,結果(名詞)
retrieve,取り戻す(動詞)
in shape,健康に(熟語)
make sense,意味をなす(熟語)
tidy,きちんとした(形容詞)
reveal,明らかにする(動詞)
consist of,から成り立っている(熟語)
afterwards,その後(副詞)
even if,たとえ～だとしても，仮に～であっても(熟語)
sewage,下水(名詞)
abolish,廃止する(動詞)
ugly,醜い(形容詞)
get over,を乗りこえる，克服する(熟語)
modest,控えめな(形容詞)
bloom,咲く(動詞)
holy,神聖な，聖なる(形容詞)
assign,割り当てる(動詞)
architecture,建築(名詞)
sparkle,閃光(動詞)
How come,どうして～(熟語)
at times,時々(熟語)
fragment,断片(名詞)
fare,運賃(名詞)
prey,獲物(名詞)
devastate,荒廃させる(動詞)
show up,現れる(熟語)
in contrast to,とは対照的に(熟語)
nutrition,栄養，栄養素(名詞)
low-income,低収入の(形容詞)
leak,漏れる(動詞)
exert,行使する(動詞)
protocol,儀礼(名詞)
toxic,有毒な(形容詞)
documentary,事実を記録した(形容詞)
acute,鋭角の(形容詞)
prohibit,禁じる(動詞)
equality,平等さ(名詞)
organic,無農薬の(形容詞)
formula,式(名詞)
exclusive,閉鎖的な(形容詞)
sincere,誠実な(形容詞)
vow,誓い(名詞)
in charge of,の担当をして(熟語)
intuition,直感(名詞)
laptop,ノートパソコン(名詞)
outstanding,並外れた，目立った(形容詞)
tissue,細胞組織，薄い織物(名詞)
by means of,によって，を用いて(熟語)
layer,層(名詞)
sit up,まっすぐ座る(熟語)
explode,爆発する，破裂する，激増する(動詞)
irrigation,灌漑(名詞)
refrain from,を控える，を遠慮する(熟語)
a bunch of,たくさんの，多量の(熟語)
altitude,高度(名詞)
humid,湿っぽい、湿度の高い(形容詞)
hemisphere,半球(名詞)
salty,塩辛い(形容詞)
custom,習慣，慣習(名詞)
award,賞(名詞)
billion,10億(名詞)
ashamed,恥じて，恥ずかしくて(形容詞)
definitely,もちろん，確かに(副詞)
do away with,廃止する(熟語)
litter,ごみ(名詞)
stare at,をじっと見つめる(熟語)
invade,侵略する(動詞)
beat,打ち負かす(動詞)
stubborn,頑固な(形容詞)
settle down,定住する(熟語)
harsh,厳しい(形容詞)
prolong,延長する(動詞)
humble,謙虚な(形容詞)
reinforce,強化する(動詞)
fragile,もろい(形容詞)
refuge,避難(名詞)
cut down,を減らす，削減する(熟語)
bold,勇敢な(形容詞)
breeze,そよ風(名詞)
lately,最近(副詞)
tuition,授業料，学費(名詞)
indicate,指し示す(動詞)
vivid,鮮やかな(形容詞)
out of stock,在庫切れ(熟語)
comprehend,理解する(動詞)
accumulate,蓄積する(動詞)
summon,召喚する(動詞)
acquire,を身につける(動詞)
pedestrian,歩行者(名詞)
restrain,抑える(動詞)